registro,type,modified,language,license,rightsHolder,accessRights,bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedMedia,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,_class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,measurementID,measurementType,measurementValue,measurementAccuracy,measurementUnit,measurementDeterminedBy,measurementDeterminedDate,measurementMethod,measurementRemarks,resourceRelationshipID,resourceID,relatedResourceID,relationshipOfResource,relationshipAccordingTo,relationshipEstablishedDate,relationshipRemarks,uniprot
2017,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1219,TULV1219,28824,"J. Cuatrecasas, H. Cuadros",,,,,,,,,,,,https://flic.kr/p/p9dhEu,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-05,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yumbo,Mulaló,"Cordillera Occidental, Vertiente Oriental, Mulalo, lomas desertizadas.",,1400,1400,,,,,,,,,3.63,-76.6,WGS84,,,,,03°38'00''N,76°36'00''W,grados minutos segundos,,,,,"J. Cuatrecasas, H. Cuadros",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Cuatrecasas,1979,,,,,,,,,,,,Cosmibuena grandiflora (Ruiz & Pav.) Rusby,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Cosmibuena,,grandiflora,,Especie,,(Ruiz & Pav.) Rusby,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2591397
2018,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1220,TULV1220,28824,"J. Cuatrecasas, H. Cuadros",,,,,,,,,,,,https://flic.kr/p/oRKXyY,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-05,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yumbo,Mulaló,"Cordillera Occidental, Vertiente Oriental, Mulalo, lomas desertizadas.",,1400,1400,,,,,,,,,3.63,-76.6,WGS84,,,,,03°38'00''N,76°36'00''W,grados minutos segundos,,,,,"J. Cuatrecasas, H. Cuadros",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Cuatrecasas,1979,,,,,,,,,,,,Cosmibuena grandiflora (Ruiz & Pav.) Rusby,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Cosmibuena,,grandiflora,,Especie,,(Ruiz & Pav.) Rusby,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2591397
2019,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1221,TULV1221,28824,"J. Cuatrecasas, H. Cuadros",,,,,,,,,,,,https://flic.kr/p/oRJTU6,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-05,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yumbo,Mulaló,"Cordillera Occidental, Vertiente Oriental, Mulalo, lomas desertizadas.",,1400,1400,,,,,,,,,3.63,-76.6,WGS84,,,,,03°38'00''N,76°36'00''W,grados minutos segundos,,,,,"J. Cuatrecasas, H. Cuadros",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Cuatrecasas,1979,,,,,,,,,,,,Cosmibuena grandiflora (Ruiz & Pav.) Rusby,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Cosmibuena,,grandiflora,,Especie,,(Ruiz & Pav.) Rusby,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2591397
2020,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1389,TULV1389,28951,J. Cuatrecasas,,,,,,,,,,,,https://flic.kr/p/p9kWjX,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-12,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Jamundí,Castillo,"Corregimiento Castillo, reminiscencias de monte alto.",,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C. M. Taylor,1992,,,,,,,,,,,,Psychotria carthagenensis Jacq.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Psychotria,,carthagenensis,,Especie,,Jacq.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2591397
2021,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1390,TULV1390,28951,J. Cuatrecasas,,,,,,,,,,,,https://flic.kr/p/p9kUfB,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-12,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Jamundí,Castillo,"Corregimiento Castillo, reminiscencias de monte alto.",,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C. M. Taylor,1992,,,,,,,,,,,,Psychotria carthagenensis Jacq.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Psychotria,,carthagenensis,,Especie,,Jacq.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2617723
2022,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1392,TULV1392,28953,"J. Cuatrecasas, H. Cuadros",,,,,,,,,,,,https://flic.kr/p/p95jQB,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-12,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Jamundí,Castillo,"Corregimiento Castillo, reminiscencias de monte alto.",,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C. M. Taylor,1992,,,,,,,,,,,,Psychotria grandis Sw.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Psychotria,,grandis,,Especie,,Sw.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2617723
2023,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1404,TULV1404,28962,"J. Cuatrecasas, H. Cuadros",,,,,,,,,,,,https://flic.kr/p/p95JwV,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-12,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Jamundí,,"Vereda Colindres, remanentes de monte alto, entre matecos y burilicos.",,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C. M. Taylor,1992,,,,,,,,,,,,Palicourea crocea (Sw.) Schult.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Palicourea,,crocea,,Especie,,(Sw.) Schult.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2617723
2024,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV15017,TULV15017,6849,W. Devia,,,,,,,,,,,,https://flic.kr/p/p9hRE2,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1999-08-25,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Riofrío,Salónica,"Corregimiento Salónica, Vereda Guayabal, Finca la Selva",,1270,1270,,,,,,,,,4.15,-76.35,WGS84,,,,,04°09'00''N,76°21'00''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,C.M.Taylor,2004,,,,,,,,,,,,Hamelia patens Jacq.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Hamelia,,patens,,Especie,,Jacq.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2617723
2025,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV15022,TULV15022,6854,W. Devia,,,,,,,,,,,,https://flic.kr/p/p92arx,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1999-08-25,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Riofrío,Salónica,"Corregimiento Salónica, Vereda Guayabal, Finca la Selva",,1400,1400,,,,,,,,,4.15,-76.35,WGS84,,,,,04°09'00''N,76°21'00''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genipa americana L.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Genipa,,americana,,Especie,,L.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2617723
2026,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV15045,TULV15045,6877,W. Devia,,,,,,,,,,,,https://flic.kr/p/oRKSa3,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1999-08-28,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Riofrío,Salónica,"Vía a Salonica, Compañía de electricidad, Finca San Antonio",,1100,1100,,,,,,,,,4.16,-76.3217,WGS84,,,,,04°09'53''N,76°19'18''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,C.M.Taylor,2004,,,,,,,,,,,,Chiococca alba (L.) Hitchc.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Chiococca,,alba,,Especie,,(L.) Hitchc.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2617723
2027,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV15051,TULV15051,6883,W. Devia,,,,,,,,,,,,https://flic.kr/p/oRKSa3,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1999-08-28,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Riofrío,Salónica,"Vía a Salonica, Compañía de electricidad, Finca San Antonio",,1100,1100,,,,,,,,,4.16,-76.3217,WGS84,,,,,04°09'53''N,76°19'18''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,C.M.Taylor,2004,,,,,,,,,,,,Chiococca alba (L.) Hitchc.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Chiococca,,alba,,Especie,,(L.) Hitchc.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2617723
2028,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV15054,TULV15054,6886,W. Devia,,,,,,,,,,,,https://flic.kr/p/oRP3V2,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1999-08-28,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Riofrío,Salónica,"Vía a Salonica, Compañía de electricidad, Finca San Antonio",,1100,1100,,,,,,,,,4.16,-76.3217,WGS84,,,,,04°09'53''N,76°19'18''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,B. R. Ramirez,2004,,,,,,,,,,,,Gonzalagunia,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Gonzalagunia,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2029,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV15055,TULV15055,6887,W. Devia,,,,,,,,,,,,https://flic.kr/p/oRKRdS,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1999-08-28,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Riofrío,Salónica,"Vía a Salonica, Compañía de electricidad, Finca San Antonio",,1100,1100,,,,,,,,,4.16,-76.3217,WGS84,,,,,04°09'53''N,76°19'18''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,C.M.Taylor,2004,,,,,,,,,,,,Chiococca alba (L.) Hitchc.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Chiococca,,alba,,Especie,,(L.) Hitchc.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2030,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV15266,TULV15266,101,"S. M. Gonzalez, A. Cruz",,,,,,,,,,,,https://flic.kr/p/oRRehR,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1993-08-11,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,Mateguadua,"Corr. Mateguadua, Jardin Botanico Juan Maria Cespedes, bs-T. bosque secundario, 25 años de recuperacion.",,1100,1100,,,,,,,,,4.03,-76.1689,WGS84,,,,,"04°01'42""N","76°10'08""W",grados minutos segundos,,,,,"S. M. Gonzalez, A. Cruz",,,,,,,,,,,,,,,,,,,,,,,,,,,C.M. Taylor,2004,,,,,,,,,,,,Psychotria carthagenensis Jacq.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Psychotria,,carthagenensis,,Especie,,Jacq.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2031,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV15405,TULV15405,129,"S. M. Gonzalez, A. Cruz",,,,,,,,,,,,https://flic.kr/p/p9hZ1e,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1993-08-11,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,Mateguadua,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes, bs-T. bosque secundario, 25 años de recuperación.",,1100,1100,,,,,,,,,4.03,-76.1689,WGS84,,,,,"04°01'42""N","76°10'08""W",grados minutos segundos,,,,,"S. M. Gonzalez, A. Cruz",,,,,,,,,,,,,,,,,,,,,,,,,,,C.M.Taylor,2004,,,,,,,,,,,,Hamelia patens Jacq.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Hamelia,,patens,,Especie,,Jacq.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2032,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV16041,TULV16041,7444,"W. Devia, J. Adarve",,,,,,,,,,,,https://flic.kr/p/p9doFs,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2001-03-12,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,El Dovio,,"Finca Tapias, de los Urdinolas.",,1400,1400,,,,,,,,,4.47,-76.1736,WGS84,,,,,04°27'57''N,76°10'25''W,grados minutos segundos,,,,,"W. Devia, J. Adarve",,,,,,,,,,,,,,,,,,,,,,,,,,,C.M.Taylor,2004,,,,,,,,,,,,Condaminea corymbosa (Ruiz & Pav.) DC.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Condaminea,,corymbosa,,Especie,,(Ruiz & Pav.) DC.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2033,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV16059,TULV16059,7462,"W. Devia, J. Adarve",,,,,,,,,,,,https://flic.kr/p/oRNvrb,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2001-03-12,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,El Dovio,,"Finca Tapias, de los Urdinolas.",,1400,1400,,,,,,,,,4.47,-76.1736,WGS84,,,,,04°27'57''N,76°10'25''W,grados minutos segundos,,,,,"W. Devia, J. Adarve",,,,,,,,,,,,,,,,,,,,,,,,,,,C.M.Taylor,2004,,,,,,,,,,,,Ladenbergia oblongifolia (Humb. ex Mutis) L.Andersson,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Ladenbergia,,oblongifolia,,Especie,,(Humb. ex Mutis) L.Andersson,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2034,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV16063,TULV16063,7466,"W. Devia, J. Adarve",,,,,,,,,,,,https://flic.kr/p/oRL4e5,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2001-03-12,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,El Dovio,,"Finca Tapias, de los Urdinolas.",,1400,1400,,,,,,,,,4.47,-76.1736,WGS84,,,,,04°27'57''N,76°10'25''W,grados minutos segundos,,,,,"W. Devia, J. Adarve",,,,,,,,,,,,,,,,,,,,,,,,,,,C.M.Taylor,2004,,,,,,,,,,,,Condaminea corymbosa (Ruiz & Pav.) DC.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Condaminea,,corymbosa,,Especie,,(Ruiz & Pav.) DC.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2035,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV16195,TULV16195,7600,"W. Devia, J. Adarve",,,,,,,,,,,,https://flic.kr/p/p9koXi,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2001-03-19,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Zarzal,La Paila,Hacienda El Medio,,950,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.M. Taylor,2004,,,,,,,,,,,,Psychotria grandis Sw.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Psychotria,,grandis,,Especie,,Sw.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2036,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV16196,TULV16196,7601,"W. Devia, J. Adarve",,,,,,,,,,,,https://flic.kr/p/oRQMEa,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2001-03-19,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Zarzal,La Paila,Hacienda El Medio,,950,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.M.Taylor,2004,,,,,,,,,,,,Psychotria viridis Ruiz & Pav.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Psychotria,,viridis,,Especie,,Ruiz & Pav.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2037,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV16198,TULV16198,7603,"W. Devia, J. Adarve",,,,,,,,,,,,https://flic.kr/p/p9j7au,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2001-03-19,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Zarzal,La Paila,Hacienda El Medio,,950,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.M. Taylor,2004,,,,,,,,,,,,Psychotria grandis Sw.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Psychotria,,grandis,,Especie,,Sw.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2038,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1620,TULV1620,9,G. Parra,,,,,,,,,,,,https://flic.kr/p/p93zSp,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1982-11-10,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buga,El Vínculo,"Corregimiento El Vinculo, Estación Biológica",,950,950,,,,,,,,,3.82,-76.3,WGS84,,,,,03°49'00''N,76°18'00''W,grados minutos segundos,,,,,G. Parra,,,,,,,,,,,,,,,,,,,,,,,,,,,W. Devia,1982,,,,,,,,,,,,Genipa americana L.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Genipa,,americana,,Especie,,L.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2039,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1621,TULV1621,9,G. Parra,,,,,,,,,,,,https://flic.kr/p/oRNHoZ,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1982-11-10,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buga,El Vínculo,"Corregimiento El Vinculo, Estación Biológica",,950,950,,,,,,,,,3.82,-76.3,WGS84,,,,,03°49'00''N,76°18'00''W,grados minutos segundos,,,,,G. Parra,,,,,,,,,,,,,,,,,,,,,,,,,,,W. Devia,1982,,,,,,,,,,,,Genipa americana L.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Genipa,,americana,,Especie,,L.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
2040,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV16210,TULV16210,7615,"W. Devia, J. Adarve",,,,,,,,,,,,https://flic.kr/p/p7iZko,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2001-03-19,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Zarzal,La Paila,Hacienda El Medio,,950,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psychotria viridis Ruiz & Pav.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,RUBIACEAE,Psychotria,,viridis,,Especie,,Ruiz & Pav.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2571309
